Country,GDP per Capita,Life satisfaction
Mexico,9009.28,6.2
Russia,9054.914,6.0
Turkey,9437.372,5.5
Hungary,12239.893999999998,5.3
Chile,13340.905,6.5
Slovak Republic,15991.736,6.2
Czech Republic,17256.918,6.6
Estonia,17288.083,5.6
Greece,18064.288,5.6
Portugal,19121.592,5.1
Slovenia,20732.482,5.7
Spain,25864.721,6.4
Korea,27195.197,5.8
Italy,29866.581000000002,5.8
Japan,32485.545,5.9
Israel,35343.336,7.1
New Zealand,37044.891,7.4
France,37675.006,6.4
Belgium,40106.632000000005,6.9
Germany,40996.511,7.0
Finland,41973.988,7.4
Canada,43331.960999999996,7.4
Netherlands,43603.115,7.3
Austria,43724.030999999995,7.1
United Kingdom,43770.687999999995,6.5
Sweden,49866.265999999996,7.3
Iceland,50854.583,7.5
Australia,50961.865,7.3
Ireland,51350.744000000006,6.8
United States,55805.204000000005,6.9
Norway,74822.106,7.6
